UWI,LEASE NAME,SURFACE LOCATION,PERMIT NUMBER,TREATMENT DATE,CURRENT OPERATOR,FIELD,FORMATION,SERVICE COMPANY,TVD (m),LATERAL LENGTH (m),NUMBER OF ZONES,ZONE SPACING (m),TOTAL PROPPANT (t),AVG PROPPANT PER ZONE (t/zone),AVG PROPPANT PER M (t/m),TOTAL FLUID PUMPED (m3),AVG FLUID PER ZONE (m3/zone),FLUID PER STIMULATED LENGTH (m3/m),AVG INJECTION RATE (m3/min),AVG TREATING PRESSURE (MPa),AVG FRAC GRADIENT (kPa/m),ENERGIZER,TOTAL N2
101022803119W300,TEINE DODSLAND N HZ 2-28-31-19,100042703119W300,77116,2017-11-09 0:00,TEINE ENERGY LTD.,DODSLAND NORTH,VIKING,IRONHORSE,673.3,606,18,33.6,270,15,0.45,508,28.2,0.8,2.5,24,,No Listed Energizer,
102012803219W300,NAL DODSLAND N 102 HZ 1-28-32-19,100042803219W300,72441,2017-09-24 0:00,WHITECAP RESOURCES INC.,DODSLAND NORTH,VIKING,IRONHORSE,641.5,921,27,34.1,,15,,1012,38.9,1.1,3.2,18.6,,No Listed Energizer,
101012803219W300,NAL DODSLAND N HZ 1-28-32-19,100042803219W300,72406,2017-09-21 0:00,WHITECAP RESOURCES INC.,DODSLAND NORTH,VIKING,,637.1,924,27,34.2,,14.4,,999,37.9,1.1,3.2,19.1,,No Listed Energizer,
102122803219W300,NAL DODSLAND N 102 HZ 12-28-32-19,100132103219W300,72720,2017-09-20 0:00,WHITECAP RESOURCES INC.,DODSLAND NORTH,VIKING,IRONHORSE,629.5,934,27,34.6,405,15,0.43,1096,40.6,1.2,3.2,18.1,,N2,1000
102122803219W300,NAL DODSLAND N 102 HZ 12-28-32-19,100132103219W300,72720,2017-09-20 0:00,WHITECAP RESOURCES INC.,DODSLAND NORTH,VIKING,IRONHORSE,629.5,934,27,34.6,405,15,0.43,1096,40.6,1.2,3.2,21.7,,No Listed Energizer,1000
101122803219W300,NAL DODSLAND N HZ 12-28-32-19,100132103219W300,72707,2017-09-18 0:00,WHITECAP RESOURCES INC.,DODSLAND NORTH,VIKING,IRONHORSE,633.2,921,27,34.1,393,14.3,0.43,1150,42.6,1.2,3.2,15.3,,N2,1000
101122803219W300,NAL DODSLAND N HZ 12-28-32-19,100132103219W300,72707,2017-09-18 0:00,WHITECAP RESOURCES INC.,DODSLAND NORTH,VIKING,IRONHORSE,633.2,921,27,34.1,393,14.3,0.43,1150,42.6,1.2,3.3,20.7,,No Listed Energizer,1000
102162803219W300,NAL DODSLAND N 102 HZ 16-28-32-19,100132803219W300,71372,2017-09-18 0:00,WHITECAP RESOURCES INC.,DODSLAND NORTH,VIKING,,617,922,27,34.1,,14.9,,984,39.3,1.1,3.5,22.3,,No Listed Energizer,
101162803219W300,NAL DODSLAND N HZ 16-28-32-19,100132803219W300,71371,2017-09-16 0:00,WHITECAP RESOURCES INC.,DODSLAND NORTH,VIKING,IRONHORSE,615.1,926,27,34.3,,14.4,,939,38,1.1,3.5,21.3,,No Listed Energizer,
102082803219W300,NAL DODSLAND N 102 HZ 8-28-32-19,100052803219W300,72679,2017-09-15 0:00,WHITECAP RESOURCES INC.,DODSLAND NORTH,VIKING,IRONHORSE,633.3,923,28,33,405,14,0.44,1011,38.6,1.2,3.4,23.2,,No Listed Energizer,
