iter	Passed	Remaining
0	696	556514
1	697	278465
2	698	185685
3	699	139257
4	700	111418
5	701	92844
6	702	79580
7	703	69630
8	704	61890
9	705	55697
10	705	50631
11	706	46412
12	707	42839
13	708	39803
14	710	37198
15	712	34913
16	714	32893
17	715	31089
18	719	29555
19	720	28105
20	721	26781
21	723	25585
22	724	24490
23	726	23484
24	728	22580
25	730	21747
26	732	20961
27	734	20237
28	735	19558
29	739	18968
30	740	18375
31	742	17813
32	743	17284
33	745	16799
34	747	16335
35	749	15911
36	751	15496
37	752	15096
38	755	14750
39	757	14392
40	758	14048
41	760	13719
42	761	13404
43	762	13103
44	763	12816
45	766	12570
46	768	12312
47	769	12062
48	771	11824
49	773	11597
50	774	11375
51	775	11160
52	779	10984
53	780	10785
54	782	10595
55	783	10411
56	784	10231
57	786	10057
58	787	9890
59	790	9744
60	791	9591
61	793	9442
62	795	9305
63	797	9171
64	799	9044
65	801	8912
66	802	8782
67	804	8655
68	805	8532
69	806	8412
70	808	8296
71	809	8183
72	812	8091
73	814	7989
74	816	7889
75	818	7792
76	819	7698
77	821	7607
78	823	7512
79	824	7420
80	826	7332
81	827	7246
82	829	7161
83	830	7078
84	832	7001
85	833	6921
86	835	6843
87	836	6767
88	837	6692
89	839	6619
90	840	6548
91	841	6478
92	843	6412
93	844	6345
94	847	6285
95	848	6223
96	850	6164
97	852	6105
98	854	6047
99	855	5991
100	857	5934
101	859	5881
102	860	5824
103	861	5767
104	863	5713
105	864	5659
106	865	5606
107	866	5553
108	867	5501
109	868	5450
110	870	5402
111	871	5354
112	873	5310
113	874	5263
114	875	5216
115	876	5170
116	877	5125
117	879	5080
118	880	5037
119	881	4994
120	882	4951
121	883	4911
122	885	4873
123	887	4838
124	888	4800
125	890	4762
126	891	4725
127	892	4687
128	894	4651
129	895	4616
130	896	4580
131	898	4544
132	899	4509
133	900	4475
134	901	4440
135	902	4406
136	903	4374
137	905	4342
138	906	4311
139	908	4284
140	910	4253
141	911	4222
142	912	4191
143	913	4163
144	915	4134
145	916	4106
146	918	4080
147	919	4052
148	921	4024
149	922	3995
150	923	3969
151	925	3944
152	926	3918
153	927	3891
154	928	3865
155	929	3839
156	931	3813
157	932	3788
158	934	3765
159	935	3743
160	937	3721
161	938	3697
162	939	3673
163	941	3649
164	942	3625
165	943	3602
166	944	3580
167	946	3562
168	948	3540
169	949	3519
170	951	3498
171	952	3478
172	954	3457
173	956	3440
174	958	3424
175	960	3405
176	962	3388
177	964	3370
178	966	3352
179	968	3334
180	969	3315
181	970	3295
182	971	3276
183	973	3257
184	976	3245
185	979	3231
186	980	3215
187	982	3198
188	983	3180
189	985	3162
190	986	3145
191	988	3130
192	989	3113
193	991	3097
194	992	3080
195	994	3063
196	995	3046
197	996	3030
198	998	3016
199	1000	3002
200	1002	2987
201	1003	2972
202	1005	2956
203	1006	2940
204	1007	2925
205	1009	2909
206	1010	2896
207	1012	2881
208	1013	2866
209	1014	2850
210	1015	2835
211	1017	2820
212	1018	2806
213	1019	2791
214	1022	2781
215	1023	2767
216	1025	2754
217	1026	2739
218	1027	2726
219	1028	2712
220	1030	2698
221	1031	2685
222	1033	2674
223	1035	2661
224	1036	2649
225	1038	2637
226	1040	2625
227	1041	2613
228	1043	2602
229	1046	2592
230	1047	2579
231	1048	2567
232	1049	2555
233	1051	2542
234	1052	2530
235	1053	2518
236	1055	2506
237	1057	2497
238	1059	2486
239	1060	2475
240	1062	2463
241	1063	2452
242	1064	2440
243	1066	2429
244	1068	2420
245	1069	2409
246	1073	2404
247	1075	2393
248	1076	2382
249	1080	2376
250	1081	2366
251	1083	2356
252	1085	2346
253	1086	2335
254	1087	2324
255	1089	2314
256	1091	2306
257	1093	2296
258	1094	2285
259	1095	2275
260	1096	2265
261	1098	2254
262	1099	2244
263	1100	2234
264	1102	2225
265	1103	2216
266	1105	2206
267	1107	2197
268	1109	2189
269	1112	2183
270	1114	2176
271	1116	2167
272	1117	2157
273	1119	2148
274	1120	2139
275	1122	2130
276	1123	2121
277	1126	2114
278	1128	2106
279	1129	2097
280	1130	2088
281	1132	2079
282	1133	2070
283	1134	2061
284	1135	2052
285	1138	2045
286	1139	2037
287	1140	2028
288	1142	2019
289	1143	2010
290	1144	2001
291	1145	1992
292	1147	1984
293	1148	1976
294	1149	1967
295	1150	1959
296	1151	1950
297	1152	1941
298	1153	1933
299	1154	1924
300	1155	1916
301	1156	1907
302	1157	1898
303	1159	1891
304	1160	1883
305	1161	1875
306	1163	1868
307	1164	1860
308	1165	1852
309	1167	1844
310	1168	1837
311	1169	1829
312	1170	1821
313	1172	1814
314	1174	1807
315	1175	1800
316	1176	1792
317	1177	1784
318	1178	1776
319	1179	1768
320	1180	1761
321	1181	1753
322	1182	1746
323	1183	1738
324	1184	1731
325	1185	1724
326	1187	1717
327	1188	1710
328	1190	1703
329	1191	1696
330	1192	1689
331	1193	1682
332	1194	1674
333	1195	1667
334	1196	1660
335	1197	1654
336	1199	1648
337	1200	1641
338	1202	1634
339	1203	1627
340	1204	1620
341	1205	1613
342	1206	1606
343	1207	1600
344	1208	1594
345	1209	1587
346	1211	1581
347	1212	1575
348	1214	1569
349	1215	1563
350	1216	1556
351	1218	1550
352	1221	1547
353	1223	1541
354	1225	1536
355	1227	1530
356	1228	1524
357	1229	1518
358	1230	1512
359	1231	1505
360	1232	1499
361	1233	1492
362	1234	1486
363	1235	1480
364	1236	1474
365	1238	1468
366	1239	1462
367	1240	1456
368	1241	1450
369	1242	1444
370	1243	1438
371	1244	1432
372	1245	1426
373	1246	1420
374	1247	1414
375	1248	1408
376	1249	1402
377	1251	1396
378	1252	1391
379	1253	1385
380	1254	1379
381	1255	1374
382	1257	1368
383	1258	1363
384	1259	1357
385	1262	1353
386	1263	1348
387	1265	1343
388	1266	1337
389	1267	1332
390	1268	1327
391	1269	1321
392	1270	1315
393	1271	1310
394	1273	1305
395	1274	1300
396	1275	1295
397	1276	1289
398	1278	1284
399	1279	1279
400	1279	1273
401	1280	1268
402	1282	1262
403	1284	1258
404	1285	1253
405	1286	1248
406	1287	1243
407	1289	1238
408	1290	1234
409	1292	1229
410	1293	1224
411	1297	1221
412	1298	1217
413	1300	1212
414	1301	1207
415	1302	1202
416	1303	1197
417	1305	1192
418	1306	1188
419	1308	1183
420	1309	1178
421	1310	1173
422	1310	1168
423	1311	1163
424	1312	1158
425	1313	1153
426	1314	1148
427	1315	1143
428	1316	1138
429	1317	1133
430	1318	1128
431	1319	1123
432	1320	1119
433	1321	1114
434	1323	1110
435	1324	1105
436	1325	1100
437	1326	1095
438	1326	1091
439	1328	1086
440	1329	1081
441	1330	1077
442	1331	1072
443	1332	1068
444	1333	1063
445	1334	1058
446	1335	1054
447	1335	1049
448	1336	1045
449	1337	1040
450	1338	1036
451	1340	1032
452	1341	1027
453	1342	1023
454	1343	1018
455	1344	1014
456	1345	1009
457	1345	1005
458	1346	1000
459	1347	996
460	1348	991
461	1349	987
462	1350	983
463	1352	979
464	1353	974
465	1353	970
466	1354	966
467	1355	961
468	1356	957
469	1357	953
470	1358	948
471	1359	944
472	1362	941
473	1363	937
474	1364	933
475	1365	929
476	1366	925
477	1367	921
478	1368	916
479	1368	912
480	1369	908
481	1370	904
482	1372	901
483	1374	897
484	1375	893
